posting_year,posting_month,posting_count,year_month
2017,1,264,2017-01
2017,2,190,2017-02
2017,3,249,2017-03
2017,4,239,2017-04
2017,5,234,2017-05
2017,6,310,2017-06
2017,7,299,2017-07
2017,8,186,2017-08
2017,9,235,2017-09
2017,10,340,2017-10
2017,11,272,2017-11
2017,12,183,2017-12
2018,1,370,2018-01
2018,2,437,2018-02
2018,3,215,2018-03
2018,4,306,2018-04
2018,5,394,2018-05
2018,6,255,2018-06
2018,7,313,2018-07
2018,8,266,2018-08
2018,9,230,2018-09
2018,10,282,2018-10
2018,11,268,2018-11
2018,12,421,2018-12
2019,1,290,2019-01
2019,2,185,2019-02
2019,3,340,2019-03
2019,4,275,2019-04
2019,5,237,2019-05
2019,6,312,2019-06
2019,7,337,2019-07
2019,8,371,2019-08
2019,9,362,2019-09
2019,10,403,2019-10
2019,11,331,2019-11
2019,12,434,2019-12
2020,1,637,2020-01
2020,2,316,2020-02
2020,3,48,2020-03
2020,4,216,2020-04
2020,5,814,2020-05
2020,6,963,2020-06
2020,7,886,2020-07
2020,8,807,2020-08
2020,9,692,2020-09
2020,10,507,2020-10
2020,11,114,2020-11
2020,12,305,2020-12
2021,1,585,2021-01
2021,2,933,2021-02
2021,3,945,2021-03
2021,4,442,2021-04
2021,5,621,2021-05
2021,6,876,2021-06
2021,7,663,2021-07
2021,8,395,2021-08
2021,9,623,2021-09
2021,10,665,2021-10
2021,11,673,2021-11
2021,12,753,2021-12
