skill_id,skill_name,skill_category,skill_name_length
1,agile,soft,5
2,agile/scrum,technical,11
3,ai/ml,technical,5
4,airflow,technical,7
5,ajax,technical,4
6,alteryx,technical,7
7,apache,technical,6
8,artificial_intelligence,technical,23
9,aspnet,technical,6
10,atlassian,technical,9
11,aurora,technical,6
12,aws,technical,3
13,azure,technical,5
14,backend,technical,7
15,bash,technical,4
16,bigquery,technical,8
17,bitbucket,technical,9
18,bloomberg,technical,9
19,business_intelligence,technical,21
20,c,technical,1
21,c/c++,technical,5
22,chainer,technical,7
23,cicd,technical,4
24,cloud,technical,5
25,codebase,technical,8
26,cognos,technical,6
27,cpp,technical,3
28,css,technical,3
29,dart,technical,4
30,data_warehousing,technical,16
31,database,technical,8
32,datadog,technical,7
33,datalake,technical,8
34,datalakes,technical,9
35,dataops,technical,7
36,datarobot,technical,9
37,dax,technical,3
38,delphi,technical,6
39,devops,technical,6
40,docker,technical,6
41,dplyr,technical,5
42,ember.js,technical,8
43,etl,technical,3
44,excel,soft,5
45,frontend,technical,8
46,fullstack,technical,9
47,gcp,technical,3
48,gdpr,technical,4
49,ggplot2,technical,7
50,git,technical,3
51,github,technical,6
52,gitlab,technical,6
53,go,technical,2
54,golang,technical,6
55,graphql,technical,7
56,hadoop,technical,6
57,html,technical,4
58,html5,technical,5
59,iaas,technical,4
60,ibm,technical,3
61,ios,technical,3
62,iot,technical,3
63,java,technical,4
64,javascript,technical,10
65,javascript/typescript,technical,21
66,jira,technical,4
67,jquery,technical,6
68,jse/jee,technical,7
69,json,technical,4
70,jupyter,technical,7
71,kanban,soft,6
72,keras,technical,5
73,kotlin,technical,6
74,linux,technical,5
75,linux/unix,technical,10
76,looker,technical,6
77,lua,technical,3
78,machine_learning,technical,16
79,machinelearning,technical,15
80,macros,technical,6
81,matlab,technical,6
82,matplotlib,technical,10
83,microsoft,technical,9
84,microstrategy,technical,13
85,mlops,technical,5
86,mlr,technical,3
87,mongodb,technical,7
88,mssql,technical,5
89,mxnet,technical,5
90,mysql,technical,5
91,nlp,technical,3
92,nltk,technical,4
93,no-sql,technical,6
94,nodejs,technical,6
95,nosql,technical,5
96,nuix,technical,4
97,numpy,technical,5
98,objectivec,technical,10
99,oracle,technical,6
100,outlook,technical,7
101,paas,technical,4
102,pandas,technical,6
103,pascal,technical,6
104,perl,technical,4
105,php,technical,3
106,plotly,technical,6
107,plsql,technical,5
108,postgresql,technical,10
109,powerbi,technical,7
110,powerpoint,technical,10
111,powerpoints,technical,11
112,powershell,technical,10
113,programming,technical,11
114,pyspark,technical,7
115,python,technical,6
116,pytorch,technical,7
117,qlik,technical,4
118,r,technical,1
119,redis,technical,5
120,redshift,technical,8
121,rshiny,technical,6
122,ruby,technical,4
123,rust,technical,4
124,saas,technical,4
125,sap,technical,3
126,sas,technical,3
127,sass,technical,4
128,scala,technical,5
129,scikit-learn,technical,12
130,scrum,soft,5
131,scrum/agile,technical,11
132,seaborn,technical,7
133,selenium,technical,8
134,server,technical,6
135,sharepoint,technical,10
136,shell,technical,5
137,shogun,technical,6
138,slack,technical,5
139,snowflake,technical,9
140,spark,technical,5
141,splunk,technical,6
142,spreadsheet,technical,11
143,spreadsheets,technical,12
144,spss,technical,4
145,sql,technical,3
146,ssas,technical,4
147,ssis,technical,4
148,ssrs,technical,4
149,swift,technical,5
150,tableau,technical,7
151,tensorflow,technical,10
152,terminal,technical,8
153,theano,technical,6
154,tidyr,technical,5
155,tsql,technical,4
156,twilio,technical,6
157,ubuntu,technical,6
158,unix,technical,4
159,unix/linux,technical,10
160,vb.net,technical,6
161,vba,technical,3
162,visio,technical,5
163,visualbasic,technical,11
164,vue,technical,3
165,vue.js,technical,6
166,word,technical,4
167,xml,technical,3
