skill_id,job_count,skill_name,skill_category,percentage
24,8549,cloud,technical,34.04
145,8412,sql,technical,33.5
115,7986,python,technical,31.8
12,7038,aws,technical,28.02
113,6776,programming,technical,26.98
1,6108,agile,soft,24.32
63,4407,java,technical,17.55
13,3896,azure,technical,15.51
31,3804,database,technical,15.15
64,3552,javascript,technical,14.14
44,3523,excel,soft,14.03
83,3088,microsoft,technical,12.3
79,2990,machinelearning,technical,11.91
14,2748,backend,technical,10.94
53,2552,go,technical,10.16
20,2405,c,technical,9.58
40,2396,docker,technical,9.54
124,2385,saas,technical,9.5
108,2340,postgresql,technical,9.32
150,2331,tableau,technical,9.28
43,2193,etl,technical,8.73
134,2109,server,technical,8.4
140,2057,spark,technical,8.19
23,2049,cicd,technical,8.16
118,2002,r,technical,7.97
39,1965,devops,technical,7.82
50,1850,git,technical,7.37
130,1711,scrum,soft,6.81
95,1589,nosql,technical,6.33
90,1550,mysql,technical,6.17
8,1482,artificial_intelligence,technical,5.9
122,1462,ruby,technical,5.82
74,1395,linux,technical,5.55
94,1368,nodejs,technical,5.45
19,1348,business_intelligence,technical,5.37
47,1315,gcp,technical,5.24
139,1311,snowflake,technical,5.22
99,1219,oracle,technical,4.85
28,1208,css,technical,4.81
66,1196,jira,technical,4.76
57,1192,html,technical,4.75
109,1150,powerbi,technical,4.58
56,1147,hadoop,technical,4.57
87,1144,mongodb,technical,4.56
128,1129,scala,technical,4.5
120,1085,redshift,technical,4.32
78,1078,machine_learning,technical,4.29
30,1031,data_warehousing,technical,4.11
45,963,frontend,technical,3.83
27,948,cpp,technical,3.77
166,911,word,technical,3.63
76,885,looker,technical,3.52
4,885,airflow,technical,3.52
110,879,powerpoint,technical,3.5
119,875,redis,technical,3.48
54,874,golang,technical,3.48
51,867,github,technical,3.45
7,784,apache,technical,3.12
55,752,graphql,technical,2.99
69,665,json,technical,2.65
33,605,datalake,technical,2.41
167,569,xml,technical,2.27
105,500,php,technical,1.99
16,475,bigquery,technical,1.89
102,470,pandas,technical,1.87
73,462,kotlin,technical,1.84
138,460,slack,technical,1.83
151,447,tensorflow,technical,1.78
136,438,shell,technical,1.74
9,428,aspnet,technical,1.7
61,428,ios,technical,1.7
60,423,ibm,technical,1.68
91,410,nlp,technical,1.63
125,407,sap,technical,1.62
162,404,visio,technical,1.61
158,384,unix,technical,1.53
15,381,bash,technical,1.52
67,372,jquery,technical,1.48
126,372,sas,technical,1.48
25,347,codebase,technical,1.38
114,345,pyspark,technical,1.37
62,342,iot,technical,1.36
71,332,kanban,soft,1.32
97,327,numpy,technical,1.3
58,326,html5,technical,1.3
100,319,outlook,technical,1.27
2,318,agile/scrum,technical,1.27
147,306,ssis,technical,1.22
164,303,vue,technical,1.21
116,276,pytorch,technical,1.1
52,274,gitlab,technical,1.09
34,268,datalakes,technical,1.07
112,248,powershell,technical,0.99
123,248,rust,technical,0.99
48,247,gdpr,technical,0.98
21,247,c/c++,technical,0.98
32,243,datadog,technical,0.97
155,236,tsql,technical,0.94
3,232,ai/ml,technical,0.92
129,222,scikit-learn,technical,0.88
133,211,selenium,technical,0.84
149,204,swift,technical,0.81
93,202,no-sql,technical,0.8
135,198,sharepoint,technical,0.79
148,191,ssrs,technical,0.76
117,180,qlik,technical,0.72
101,177,paas,technical,0.7
17,175,bitbucket,technical,0.7
152,173,terminal,technical,0.69
5,168,ajax,technical,0.67
165,168,vue.js,technical,0.67
72,166,keras,technical,0.66
42,165,ember.js,technical,0.66
141,159,splunk,technical,0.63
70,155,jupyter,technical,0.62
156,154,twilio,technical,0.61
81,153,matlab,technical,0.61
6,152,alteryx,technical,0.61
143,151,spreadsheets,technical,0.6
80,149,macros,technical,0.59
104,142,perl,technical,0.57
107,140,plsql,technical,0.56
11,137,aurora,technical,0.55
144,135,spss,technical,0.54
161,134,vba,technical,0.53
26,124,cognos,technical,0.49
10,122,atlassian,technical,0.49
159,122,unix/linux,technical,0.49
157,118,ubuntu,technical,0.47
127,113,sass,technical,0.45
68,110,jse/jee,technical,0.44
160,110,vb.net,technical,0.44
18,110,bloomberg,technical,0.44
75,104,linux/unix,technical,0.41
88,101,mssql,technical,0.4
84,101,microstrategy,technical,0.4
65,99,javascript/typescript,technical,0.39
85,95,mlops,technical,0.38
59,95,iaas,technical,0.38
35,93,dataops,technical,0.37
142,92,spreadsheet,technical,0.37
46,90,fullstack,technical,0.36
146,81,ssas,technical,0.32
37,65,dax,technical,0.26
131,62,scrum/agile,technical,0.25
82,56,matplotlib,technical,0.22
163,50,visualbasic,technical,0.2
106,43,plotly,technical,0.17
96,38,nuix,technical,0.15
92,37,nltk,technical,0.15
132,30,seaborn,technical,0.12
29,26,dart,technical,0.1
36,24,datarobot,technical,0.1
89,19,mxnet,technical,0.08
111,18,powerpoints,technical,0.07
98,18,objectivec,technical,0.07
153,10,theano,technical,0.04
41,7,dplyr,technical,0.03
121,5,rshiny,technical,0.02
77,3,lua,technical,0.01
86,3,mlr,technical,0.01
103,3,pascal,technical,0.01
49,3,ggplot2,technical,0.01
22,2,chainer,technical,0.01
38,1,delphi,technical,0.0
154,1,tidyr,technical,0.0
137,1,shogun,technical,0.0
